"region","age","2016"
"01 Stockholm county","18-29 years",418.9
"01 Stockholm county","30-49 years",716.4
"01 Stockholm county","50-64 years",742.5
"03 Uppsala county","18-29 years",327.6
"03 Uppsala county","30-49 years",589.9
"03 Uppsala county","50-64 years",631.1
"04 Södermanland county","18-29 years",346.0
"04 Södermanland county","30-49 years",532.0
"04 Södermanland county","50-64 years",551.6
"05 Östergötland county","18-29 years",316.0
"05 Östergötland county","30-49 years",546.4
"05 Östergötland county","50-64 years",579.4
"06 Jönköping county","18-29 years",359.6
"06 Jönköping county","30-49 years",563.7
"06 Jönköping county","50-64 years",605.0
"07 Kronoberg county","18-29 years",334.4
"07 Kronoberg county","30-49 years",546.9
"07 Kronoberg county","50-64 years",577.2
"08 Kalmar county","18-29 years",340.4
"08 Kalmar county","30-49 years",526.9
"08 Kalmar county","50-64 years",544.8
"09 Gotland county","18-29 years",329.7
"09 Gotland county","30-49 years",530.9
"09 Gotland county","50-64 years",532.9
"10 Blekinge county","18-29 years",318.7
"10 Blekinge county","30-49 years",521.2
"10 Blekinge county","50-64 years",536.2
"12 Skåne county","18-29 years",339.4
"12 Skåne county","30-49 years",559.5
"12 Skåne county","50-64 years",594.5
"13 Halland county","18-29 years",382.6
"13 Halland county","30-49 years",626.5
"13 Halland county","50-64 years",675.2
"14 Västra Götaland county","18-29 years",360.2
"14 Västra Götaland county","30-49 years",571.1
"14 Västra Götaland county","50-64 years",614.3
"17 Värmland county","18-29 years",322.3
"17 Värmland county","30-49 years",515.7
"17 Värmland county","50-64 years",527.7
"18 Örebro county","18-29 years",317.5
"18 Örebro county","30-49 years",520.3
"18 Örebro county","50-64 years",539.1
"19 Västmanland county","18-29 years",346.8
"19 Västmanland county","30-49 years",545.1
"19 Västmanland county","50-64 years",560.6
"20 Dalarna county","18-29 years",337.7
"20 Dalarna county","30-49 years",512.8
"20 Dalarna county","50-64 years",527.1
"21 Gävleborg county","18-29 years",325.3
"21 Gävleborg county","30-49 years",503.2
"21 Gävleborg county","50-64 years",523.4
"22 Västernorrland county","18-29 years",330.8
"22 Västernorrland county","30-49 years",519.8
"22 Västernorrland county","50-64 years",532.5
"23 Jämtland county","18-29 years",323.4
"23 Jämtland county","30-49 years",516.2
"23 Jämtland county","50-64 years",521.5
"24 Västerbotten county","18-29 years",306.7
"24 Västerbotten county","30-49 years",521.3
"24 Västerbotten county","50-64 years",557.2
"25 Norrbotten county","18-29 years",345.4
"25 Norrbotten county","30-49 years",531.0
"25 Norrbotten county","50-64 years",540.6
